"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:53:00 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","AB","NG","BLQ","DFO","WDS","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","OBS","WDL","MSB","MSN","PC","OTH","JF","LFG"
"Longview Fibre","--","--",1,12,"--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Lumberton","--","--","--","--","--",10,"--","--","--","--","--","--","--","--",9,"--","--","--","--","--","--","--"
"M L Hibbard","--","--",1,"--","--",11,"--","--","--","--",19,"--","--","--","--","--","--","--","--","--","--","--"
"MCLB Landfill Gas to Energy",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MMSD South Shore Wastewater",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Manitowoc","--","--",1,"--",6,23,"--","--","--",23,"--","--","--","--","--","--","--","--",27,"--","--","--"
"Mansfield Mill","--","--",1,11,"--",9,"--","--",29,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Marlboro Mill","--","--",1,11,"--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"McMinnville","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mead Coated Board","--","--",1,11,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Metro Wastewater Reclamation District",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Middlebury College","--","--",1,"--","--",9,"--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
