Plant.Name.x,Plant.Code,State.x,Sector.Name,Prime.Movers,Fuel.Types,Primary.Technology,Utility.ID,Utility.Name,Plant.Name.y,Street.Address,City,State.y,Zip,County,Latitude,Longitude
Southampton Power Station,10774,VA,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,19876,Virginia Electric & Power Co,Southampton Power Station,30134 General Thomas Highway,Franklin,VA,23851,Southampton,36.6525,-76.9953
Southside Water Reclamation Plant,10339,NM,IPP CHP,IC,"NG, OBG",Multiple,194,Albuquerque City of,Southside Water Reclamation Plant,4210 2nd st SW,Albuquerque,NM,87105,Bernalillo,35.016111,-106.669722
Springfield Power LLC,10838,NH,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56084,Springfield Power LLC,Springfield Power LLC,54 Fisher Corner Road,Springfield,NH,03751,Sullivan,43.442871,-72.056
St Francisville Mill,10697,LA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,59867,"Hood Container of Louisiana, LLC",St Francisville Mill,2105 HY 964,Francisville,LA,70775,West Feliciana,30.7108,-91.3236
St Paul Cogeneration,56643,MN,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,55893,St Paul Cogeneration LLC,St Paul Cogeneration,125 Shepard Road W,St. Paul,MN,55102,Ramsey,44.942889,-93.096559
Stockton Biomass,54238,CA,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,56652,DTE Stockton LLC,Stockton Biomass,2526 Washington St,Stockton,CA,95203,San Joaquin,37.943633,-121.330433
Stoltze CoGen1,58523,MT,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,58498,F H Stoltze Land & Lumber Co,Stoltze CoGen1,600 Halfmoon Rd,Columbia Falls,MT,59912,Flathead,48.3877,-114.2409
Subregional Water Reclamation Facility,58960,CA,Commercial CHP,IC,OBG,Other Waste Biomass,58824,City of Santa Rosa,Subregional Water Reclamation Facility,4300 Llano Road,Santa Rosa,CA,95407,Sonoma,38.368889,-122.765833
Synergy Biogas,58399,NY,Commercial Non-CHP,IC,OBG,Other Waste Biomass,58383,CH4 Biogas LLC,Synergy Biogas,6466 Lemley Road,Wyoming,NY,14591,Wyoming,42.828889,-78.055
Tamarack Energy Partnership,50099,ID,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,18461,Tamarack Energy Partners,Tamarack Energy Partnership,3555 Hwy. 95 South,New Meadows,ID,83654,Adams,44.954853,-116.387134
Telogia Power,50774,FL,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,54827,Telogia Power LLC,Telogia Power,20082 Telogia Power Road,Telogia,FL,32334,Liberty,30.3349,-84.8182
Thermal Energy Development Part LP,10502,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,55850,Thermal Energy Development Part LP,Thermal Energy Development Part LP,14800 W Schulte Rd,Tracy,CA,95377,San Joaquin,37.719939,-121.48867
Threemile Digester,58382,OR,IPP CHP,IC,OBG,Other Waste Biomass,58370,"TMF Biofuels, LLC",Threemile Digester,75906 Threemile Road,Boardman,OR,97818,Morrow,45.71,-119.901111
Ticonderoga Mill,54099,NY,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,9350,IPC-Ticonderoga,Ticonderoga Mill,568 Shore Airport Rd.,Ticonderoga,NY,12883,Essex,43.891437,-73.396998
Total Energy Facilities,10091,CA,Commercial CHP,"CA, CT",OBG,Other Waste Biomass,11217,Los Angeles County Sanitation,Total Energy Facilities,24501 S Figueroa Street,Carson,CA,90745,Los Angeles,33.7683,-118.2836
U S Alliance Coosa Pines,54216,AL,Industrial CHP,ST,"BLQ, NG",Multiple,2053,Bowater Newport Coosa Pines Op,U S Alliance Coosa Pines,17589 Plant Rd,Coosa Pines,AL,35044,Talladega,33.328107,-86.356825
UCSD Fuel Cell Plant,57735,CA,IPP Non-CHP,FC,OBG,Other Waste Biomass,57047,BioFuels Point Loma LLC,UCSD Fuel Cell Plant,9400 Gilman Drive,San Diego,CA,92093,San Diego,32.877222,-117.234722
Verso Paper Quinnesec Mich Mill,50251,MI,Industrial CHP,ST,"BLQ, WDS",Wood/Wood Waste Biomass,56187,Verso Paper - Quinnesec,Verso Paper Quinnesec Mich Mill,US Hwy 2,Norway,MI,49870,Dickinson,45.7956,-87.9556
Verwey-Hanford Dairy Digester #1,60918,CA,IPP Non-CHP,IC,OBG,Other Waste Biomass,60572,AlsoEnergy,Verwey-Hanford Dairy Digester #1,19765 13th Ave,Hanford,CA,93230,Kings,36.18519,-119.681495
